Title,Instructor,Rating,Reviews,Time,Duration,Venue,Location,Tags,Price
Pilates Reformer: Abs Arms Ass,Meg Broome,4.9,26215.0,8:30 am,55,New York Pilates,SoHo,"Flexibility, Balance, Core, Abs, Pilates",25
SKY TING Yoga,Grace Dubery,4.8,17389.0,8:30 am,60,SKY TING,Tribeca,"Flexibility, Balance, Arms, Yoga",11
WundaBar Workout,Marta Picaporte,4.8,19814.0,8:30 am,45,WundaBar Pilates,SoHo,"Flexibility, Balance, Core, Abs, Pilates, Strength Training",16
BigToe Flow,Patrick Rafferty,4.8,2394.0,8:30 am,60,BigToe Yoga,SoHo,"Flexibility, Balance, Arms, Yoga",4
Pilates Reformer: Burnout,Lisa Jantzie,4.9,37864.0,8:30 am,50,New York Pilates,Bowery,"Flexibility, Balance, Core, Abs, Pilates",25
Signature II,Veronika Cohen,4.9,59396.0,8:30 am,60,Physique 57,SoHo,"Flexibility, Balance, Core, Abs, Barre",12
Flywheel: Method 45,Cedric Green,4.8,41488.0,8:30 am,45,Flywheel Sports: Stadium Cycling,Tribeca,"Cardio, Cycling",13
EXCEED: The Workout,Jed Cabreira,4.9,25869.0,8:30 am,50,Exceed Physical Culture,Tribeca,Strength Training,12
Pilates Reformer: Sculpt + Restore,Heran Haile,4.8,23958.0,8:30 am,55,New York Pilates,Greenwich Village,"Flexibility, Balance, Core, Abs, Pilates",25
barre3,Jenna Muller,4.8,34598.0,8:30 am,60,barre3,West Village,"Flexibility, Balance, Core, Abs, Barre",16
ISHTA Vinyasa,Mikaela Soldan,4.7,7186.0,8:30 am,60,ISHTA Yoga,Greenwich Village,"Flexibility, Balance, Arms, Yoga",6
HIIT,Tatiana Lampa,4.7,4199.0,8:30 am,50,FitHouse,Union Square,"Cardio, Strength Training",7
B3 x TomÌÁs,Tomas Rodgers,4.9,40159.0,8:30 am,50,NYSC Lab (featuring BFX),Chelsea,Strength Training,8
Cyc45,Michael Clement,4.8,37118.0,8:30 am,45,Cyc Fitness,Chelsea,"Cardio, Cycling",10
SHADOWBOX - STANDARD,Brendan,4.9,3651.0,8:30 am,45,Shadowbox,DUMBO,"Cardio, Arms, Boxing",18
Heated Flow,Amy Wolfe,4.8,14445.0,8:30 am,65,Yoga Vida,DUMBO,"Flexibility, Balance, Arms, Yoga",5
