Title,Instructor,Rating,Reviews,Time,Duration,Venue,Location,Tags,Price
Brazilian Jiu-Jitsu -- Fundamentals,Jin Yung,4.7,"4,090",5:30 pm,60,Five Points Academy,SoHo,Martial Arts,10
Pilates Reformer: Sculpt + Restore,Adriana Ballester,4.9,"26,154",5:30 pm,50,New York Pilates,SoHo,"Flexibility, Balance, Core, Abs, Pilates",25
RIHANNA VS. GAGA,KY,4.8,"27,519",5:30 pm,45,The Monster Cycle,SoHo,,9
Yoga SculptWorks w/ Music,Irina Ovsiannikova,4.6,"10,944",5:30 pm,45,YogaWorks,SoHo,"Flexibility, Balance, Arms, Yoga",8
Drive Strength & Fitness,Kelleigh Ryan,4.7,"2,166",5:30 pm,45,Drive 495,SoHo,"Cycling, Strength Training",11
Boxing - All Levels,Kenny Ocean,4.7,"2,821",5:30 pm,60,Church St Boxing,Tribeca,"Cardio, Arms, Boxing",9
SKY TING Yin Yoga,Patrick Foley,4.8,"17,354",5:30 pm,60,SKY TING,Tribeca,"Flexibility, Balance, Arms, Yoga",11
All Levels Vinyasa,Jason Orrell,4.7,511,5:30 pm,60,ALO Yoga,SoHo,"Flexibility, Balance, Arms, Yoga",6
LAND TONING | Butt / Legs - Coed,JC Durimel,4.8,"11,325",5:30 pm,45,AQUA Studio NY,Tribeca,Strength Training,12
WundaBar Workout,Kristina Brookman,4.8,"19,778",5:30 pm,45,WundaBar Pilates,SoHo,"Flexibility, Balance, Core, Abs, Pilates, Strength Training",18
modelFIT Sculpt,Abbey Woodfin,4.8,"12,877",5:30 pm,60,modelFIT,NoLita,"Cardio, Strength Training",9
Bounce,Shaina McGregor,4.8,"6,397",5:30 pm,50,FitHouse,Tribeca,"Pilates, Strength Training",7
WOOOM Yoga Experience,Francesca Bove,4.8,"15,815",5:30 pm,75,WOOM CENTER,Bowery,"Flexibility, Balance, Arms, Yoga",7
Signature II,Torrey McAnena,4.9,"59,289",5:30 pm,60,Physique 57,SoHo,"Flexibility, Balance, Core, Abs, Barre",12
Flywheel: Method 45,Sydney Sabean,4.8,"41,439",5:30 pm,45,Flywheel Sports: Stadium Cycling,Tribeca,"Cardio, Cycling",14
YogaSpark,Robbin Rose,4.8,"5,672",5:30 pm,60,YogaSpark - Tribeca,Tribeca,"Flexibility, Balance, Arms, Yoga",9
EXCEED: The Workout,Rob Menefee,4.9,"25,795",5:30 pm,50,Exceed Physical Culture,Tribeca,Strength Training,11
Pilates Reformer: Core Cult Jump,Abby Suskin w/ Emi,4.8,"23,880",5:30 pm,50,New York Pilates,Greenwich Village,"Flexibility, Balance, Core, Abs, Pilates",12
Fly,Sarah Ghilardi,4.9,"8,388",5:30 pm,60,FIERCE GRACE LOWER EAST SIDE,Lower East Side,Yoga,7
Lock-down Wednesday,Lature Irvin,4.9,"9,232",5:30 pm,60,ConBody,Bowery,Strength Training,11
XTEND BARRE XPRESS,Carly Greenstein,4.8,"8,985",5:30 pm,45,Xtend Barre,Tribeca,"Pilates, Barre",9
BIKE THE BROOKLYN BRIGDE !,none,4.9,51,5:30 pm,120,Unlimited Biking,Civic Center,"Cardio, Cycling, Outdoors",5
Bout the Fitness,Sydney Swing,4.9,"5,416",5:30 pm,60,Bout Fight Club,Financial District,"Strength Training, Boxing",8
Bout the Original,Juliette LaDisa,4.9,"5,416",5:30 pm,60,Bout Fight Club,Financial District,Boxing,8
RZ Core,Reynaldo Morales,4.7,"2,236",5:30 pm,60,RedZone by NYSC,East Village,Strength Training,9
Flywheel: Tempo 45,Nick Rivera,4.9,"76,940",5:30 pm,45,Flywheel Sports: Stadium Cycling,East Village,"Cardio, Cycling",14
Y2K Bootcamp,Chase Tucker,4.8,"2,306",5:30 pm,45,Peloton Tread Studio,West Village,Strength Training,10
All Levels,Kristin Law,4.7,"7,172",5:30 pm,70,ISHTA Yoga,Greenwich Village,"Flexibility, Balance, Arms, Yoga",7
be-ginner- GYROTONIC Tower Class,Helen Cahill,4.8,"14,078",5:30 pm,60,Body Evolutions NYC,East Village,"Flexibility, Balance, Core, Abs, Pilates",9
Ryde 45,Nicco Griggs-Drane,4.7,"19,664",5:30 pm,45,RYDE Cycle,Greenwich Village,"Cardio, Cycling",9
Reformer / Tower,Lauren P,4.8,"5,190",5:30 pm,60,Avea Pilates,West Village,"Flexibility, Balance, Core, Abs, Pilates",14
FIT (Functional Integrated Training),Roman Nadolishny,4.8,283,5:30 pm,45,Mushin Mixed Martial Arts,Greenwich Village,Strength Training,9
Signature I,Adam Dickerson,4.9,"37,428",5:30 pm,60,Physique 57,Financial District,"Flexibility, Balance, Core, Abs, Barre",12
CITYROW,Bakari Williams,4.8,"10,833",5:30 pm,50,CityRow,Greenwich Village,,9
